"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-01","17.22",,"0.00","0.0","0.0","33","40","28","  230","  230","25.9","32.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-02","13.65",,"0.00","0.0","0.0","39","45","35","  300","  300","23.9","30.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-03","9.17",,"0.94","0.0","0.0","36","47","30","   90","  100","18.1","23.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-04","10.07",,"0.47","0.0","0.0","47","55","43","  290","  290","28.0","36.0","    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-05","19.69",,"0.00","0.0","0.0","43","51","23","  280","  290","33.1","48.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-06","8.50",,"0.07","1.1","0.0","22","23","19","  310","  310","23.0","28.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-07","21.47",,"0.00","0.0","1.2","22","25","10","  310","  310","40.0","47.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-08","17.22",,"0.00","0.0","0.0","14","22","8","  310","  300","33.1","38.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-09","19.69",,"0.07","1.3","0.0","26","34","21","  210","  270","33.1","40.0","    1",,,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-10","16.55",,"0.00","0.0","1.2","22","24","18","  280","  280","25.1","32.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-11","10.96",,"0.00","0.0","1.2","26","38","20","  200","  190","21.0","23.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-12","6.04",,"0.70","0.0","0.0","36","40","34","  350","  350","16.1","19.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-13","15.21",,"0.00","0.0","0.0","32","37","19","  360","  360","23.9","29.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-14","11.63",,"0.00","0.0","0.0","24","33","19","   30","   20","16.1","19.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-15","9.84",,"0.00","0.0","0.0","31","35","27","  270","  260","18.1","21.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-16","18.34",,"0.00","0.0","0.0","34","45","20","  310","  300","36.0","45.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-17","10.51",,"0.00","0.0","0.0","23","32","18","  320","  330","21.0","25.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-18","6.26",,"1.62","0.0","0.0","36","47","27","  310","  300","21.0","23.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-19","15.21",,"0.00","0.0","0.0","40","45","35","  290","  290","31.1","36.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-20","12.08",,"0.00","0.0","0.0","39","41","32","  290","  310","19.9","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-21","6.04",,"0.00","0.0","0.0","32","38","26","   20","  120","14.1","19.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-22","8.05",,"0.00","0.0","0.0","35","41","31","  310","  310","19.9","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-23","10.51",,"0.00","0.0","0.0","33","39","28","  230","  230","17.0","21.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-24","11.41",,"0.75","3.4","3.1","35","40","33","  300",,"23.0",,"    1","    1",,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-25","14.99",,"0.00","0.0","0.0","39","45","32","  290","  300","25.9","33.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-26","18.34",,"0.33","5.1","0.0","28","32","24","   20","   30","31.1","38.9","    1",,,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-27","19.01",,"0.31","5.6","9.1","25","27","20","  360","  350","29.1","36.0",,,,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-28","13.87",,"0.00","0.0","9.8","24","33","17","  330","  330","23.9","29.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-29","8.28",,"0.01","0.0","9.1","25","37","17","  200","  240","19.9","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-30","18.79",,"0.04","0.6","9.1","35","38","19","  310","  320","38.0","49.0","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-01-31","23.04",,"0.00","0.0","7.1","21","27","14","  310","  310","38.0","47.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-01","8.72",,"0.03","0.3","7.1","27","36","21","  270","  270","17.0","19.9","    1",,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-02","19.01",,"1.18","4.2","7.9","32","35","15","  310","  320","31.1","38.9","    1","    1",,"    1",,"    1","    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-03","14.32",,"0.00","0.0","7.9","20","26","14","  310","  310","32.0","40.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-04","13.65",,"0.00","0.0","7.9","31","39","22","  200","  190","23.9","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-05","19.69",,"0.00","0.1","5.1","33","39","15","  330","  320","33.1","40.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-06","14.09",,"0.00","0.0","5.1","19","27","13","  260","  270","23.9","30.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-07","8.28",,"0.00","0.0","3.9","30","37","25","  240","  250","14.1","17.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-08","8.72",,"0.00","0.0","3.9","37","42","29","   50","   50","19.9","23.9","    1",,,,,,"    1",
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-09","17.22",,"0.14","0.1","2.0","28","29","26","   30","   40","23.9","30.0",,,,"    1",,"    1",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-10","15.43",,"0.00","0.0","2.0","30","40","26","   20","  360","23.0","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-11","10.07",,"0.00","0.0","2.0","30","35","23","   30","   30","21.9","28.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-12","13.20",,"0.00","0.0","1.2","31","40","18","  330","  330","36.0","44.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-13","18.79",,"0.00","0.0","1.2","19","23","9","  310","  310","38.0","47.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-14","10.51",,"0.01","0.4","1.2","24","35","16","  200","  190","28.0","32.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-15","27.74",,"0.01","0.3","1.2","21","27","5","  310","  310","38.0","49.0",,,,,,,,"    1"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-16","14.76",,"0.00","0.0","1.2","11","23","5","  300","  310","33.1","44.1",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-17","6.93",,"0.19","3.5","3.9","20","27","16","   30","   20","16.1","19.9",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-18","5.82",,"0.00","0.0","3.1","23","31","15","  250","  250","17.0","23.0",,,,,,,,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","2015-02-19","21.25",,"0.00","0.0","2.0","22","27","9","  310","  300","31.1","38.9",,,,,,,,
